,age_group,diabetes,g_stage,n,group_sum,frac
0,20,0,G1,24527,26829,0.9142
1,20,0,G2,2240,26829,0.08349
2,20,0,G3a,38,26829,0.00142
3,20,0,G3b,11,26829,0.00041
4,20,0,G4,11,26829,0.00041
5,20,0,G5,11,26829,0.00041
6,20,1,G1,1106,1200,0.92167
7,20,1,G2,81,1200,0.0675
8,20,1,G3a,11,1200,0.00917
9,20,1,G3b,11,1200,0.00917
10,20,1,G4,11,1200,0.00917
11,20,1,G5,11,1200,0.00917
12,30,0,G1,38835,47733,0.81359
13,30,0,G2,8623,47733,0.18065
14,30,0,G3a,192,47733,0.00402
15,30,0,G3b,40,47733,0.00084
16,30,0,G4,21,47733,0.00044
17,30,0,G5,22,47733,0.00046
18,30,1,G1,4190,4935,0.84904
19,30,1,G2,645,4935,0.1307
20,30,1,G3a,48,4935,0.00973
21,30,1,G3b,24,4935,0.00486
22,30,1,G4,16,4935,0.00324
23,30,1,G5,12,4935,0.00243
24,40,0,G1,55763,81764,0.682
25,40,0,G2,24923,81764,0.30482
26,40,0,G3a,850,81764,0.0104
27,40,0,G3b,148,81764,0.00181
28,40,0,G4,51,81764,0.00062
29,40,0,G5,29,81764,0.00035
30,40,1,G1,12082,16309,0.74082
31,40,1,G2,3669,16309,0.22497
32,40,1,G3a,325,16309,0.01993
33,40,1,G3b,119,16309,0.0073
34,40,1,G4,57,16309,0.0035
35,40,1,G5,57,16309,0.0035
36,50,0,G1,63378,124866,0.50757
37,50,0,G2,57342,124866,0.45923
38,50,0,G3a,3455,124866,0.02767
39,50,0,G3b,508,124866,0.00407
40,50,0,G4,119,124866,0.00095
41,50,0,G5,64,124866,0.00051
42,50,1,G1,21256,38024,0.55902
43,50,1,G2,14067,38024,0.36995
44,50,1,G3a,1801,38024,0.04736
45,50,1,G3b,567,38024,0.01491
46,50,1,G4,185,38024,0.00487
47,50,1,G5,148,38024,0.00389
48,60,0,G1,51185,136282,0.37558
49,60,0,G2,74039,136282,0.54328
50,60,0,G3a,8910,136282,0.06538
51,60,0,G3b,1735,136282,0.01273
52,60,0,G4,319,136282,0.00234
53,60,0,G5,94,136282,0.00069
54,60,1,G1,21295,56998,0.37361
55,60,1,G2,26695,56998,0.46835
56,60,1,G3a,5988,56998,0.10506
57,60,1,G3b,2266,56998,0.03976
58,60,1,G4,533,56998,0.00935
59,60,1,G5,221,56998,0.00388
60,70,0,G1,18935,91291,0.20741
61,70,0,G2,53524,91291,0.5863
62,70,0,G3a,14447,91291,0.15825
63,70,0,G3b,3709,91291,0.04063
64,70,0,G4,593,91291,0.0065
65,70,0,G5,83,91291,0.00091
66,70,1,G1,8399,45521,0.18451
67,70,1,G2,22938,45521,0.5039
68,70,1,G3a,9230,45521,0.20276
69,70,1,G3b,3914,45521,0.08598
70,70,1,G4,843,45521,0.01852
71,70,1,G5,197,45521,0.00433
72,80,0,G1,1051,35693,0.02945
73,80,0,G2,20720,35693,0.58051
74,80,0,G3a,9032,35693,0.25305
75,80,0,G3b,4071,35693,0.11406
76,80,0,G4,753,35693,0.0211
77,80,0,G5,66,35693,0.00185
78,80,1,G1,397,16372,0.02425
79,80,1,G2,7875,16372,0.481
80,80,1,G3a,4551,16372,0.27797
81,80,1,G3b,2864,16372,0.17493
82,80,1,G4,637,16372,0.03891
83,80,1,G5,48,16372,0.00293
84,90,0,G1,13,5293,0.00246
85,90,0,G2,2255,5293,0.42603
86,90,0,G3a,1694,5293,0.32005
87,90,0,G3b,1080,5293,0.20404
88,90,0,G4,242,5293,0.04572
89,90,0,G5,11,5293,0.00208
90,90,1,G1,11,1734,0.00634
91,90,1,G2,636,1734,0.36678
92,90,1,G3a,549,1734,0.31661
93,90,1,G3b,419,1734,0.24164
94,90,1,G4,119,1734,0.06863
95,90,1,G5,11,1734,0.00634
