,age_group,hypertension,g_stage,n,group_sum,frac
0,20,0,G1,23152,25296,0.91524
1,20,0,G2,2093,25296,0.08274
2,20,0,G3a,36,25296,0.00142
3,20,0,G3b,11,25296,0.00043
4,20,0,G4,11,25296,0.00043
5,20,0,G5,11,25296,0.00043
6,20,1,G1,2481,2733,0.90779
7,20,1,G2,228,2733,0.08342
8,20,1,G3a,11,2733,0.00402
9,20,1,G3b,11,2733,0.00402
10,20,1,G4,11,2733,0.00402
11,20,1,G5,11,2733,0.00402
12,30,0,G1,32132,38993,0.82405
13,30,0,G2,6706,38993,0.17198
14,30,0,G3a,124,38993,0.00318
15,30,0,G3b,16,38993,0.00041
16,30,0,G4,11,38993,0.00028
17,30,0,G5,11,38993,0.00028
18,30,1,G1,10893,13675,0.79656
19,30,1,G2,2562,13675,0.18735
20,30,1,G3a,116,13675,0.00848
21,30,1,G3b,48,13675,0.00351
22,30,1,G4,31,13675,0.00227
23,30,1,G5,25,13675,0.00183
24,40,0,G1,39967,56900,0.70241
25,40,0,G2,16441,56900,0.28895
26,40,0,G3a,423,56900,0.00743
27,40,0,G3b,48,56900,0.00084
28,40,0,G4,13,56900,0.00023
29,40,0,G5,11,56900,0.00019
30,40,1,G1,27878,41173,0.67709
31,40,1,G2,12151,41173,0.29512
32,40,1,G3a,752,41173,0.01826
33,40,1,G3b,219,41173,0.00532
34,40,1,G4,95,41173,0.00231
35,40,1,G5,78,41173,0.00189
36,50,0,G1,37751,71232,0.52997
37,50,0,G2,31784,71232,0.4462
38,50,0,G3a,1485,71232,0.02085
39,50,0,G3b,152,71232,0.00213
40,50,0,G4,33,71232,0.00046
41,50,0,G5,27,71232,0.00038
42,50,1,G1,46883,91658,0.5115
43,50,1,G2,39625,91658,0.43231
44,50,1,G3a,3771,91658,0.04114
45,50,1,G3b,923,91658,0.01007
46,50,1,G4,271,91658,0.00296
47,50,1,G5,185,91658,0.00202
48,60,0,G1,24968,60855,0.41029
49,60,0,G2,32604,60855,0.53577
50,60,0,G3a,2714,60855,0.0446
51,60,0,G3b,441,60855,0.00725
52,60,0,G4,88,60855,0.00145
53,60,0,G5,40,60855,0.00066
54,60,1,G1,47512,132425,0.35878
55,60,1,G2,68130,132425,0.51448
56,60,1,G3a,12184,132425,0.09201
57,60,1,G3b,3560,132425,0.02688
58,60,1,G4,764,132425,0.00577
59,60,1,G5,275,132425,0.00208
60,70,0,G1,7107,28938,0.24559
61,70,0,G2,17728,28938,0.61262
62,70,0,G3a,3298,28938,0.11397
63,70,0,G3b,681,28938,0.02353
64,70,0,G4,102,28938,0.00352
65,70,0,G5,22,28938,0.00076
66,70,1,G1,20227,107874,0.18751
67,70,1,G2,58734,107874,0.54447
68,70,1,G3a,20379,107874,0.18891
69,70,1,G3b,6942,107874,0.06435
70,70,1,G4,1334,107874,0.01237
71,70,1,G5,258,107874,0.00239
72,80,0,G1,311,8082,0.03848
73,80,0,G2,5380,8082,0.66568
74,80,0,G3a,1733,8082,0.21443
75,80,0,G3b,547,8082,0.06768
76,80,0,G4,100,8082,0.01237
77,80,0,G5,11,8082,0.00136
78,80,1,G1,1137,43983,0.02585
79,80,1,G2,23215,43983,0.52782
80,80,1,G3a,11850,43983,0.26942
81,80,1,G3b,6388,43983,0.14524
82,80,1,G4,1290,43983,0.02933
83,80,1,G5,103,43983,0.00234
84,90,0,G1,11,964,0.01141
85,90,0,G2,508,964,0.52697
86,90,0,G3a,280,964,0.29046
87,90,0,G3b,131,964,0.13589
88,90,0,G4,42,964,0.04357
89,90,0,G5,11,964,0.01141
90,90,1,G1,16,6063,0.00264
91,90,1,G2,2383,6063,0.39304
92,90,1,G3a,1963,6063,0.32377
93,90,1,G3b,1368,6063,0.22563
94,90,1,G4,319,6063,0.05261
95,90,1,G5,14,6063,0.00231
