,age_group,hypertension,g_stage,n,group_sum,frac
0,20,0,G1G2,25245,25296,0.99798
1,20,0,G3a,36,25296,0.00142
2,20,0,G3b,11,25296,0.00043
3,20,0,G4,11,25296,0.00043
4,20,0,G5,11,25296,0.00043
5,20,1,G1G2,2709,2733,0.99122
6,20,1,G3a,11,2733,0.00402
7,20,1,G3b,11,2733,0.00402
8,20,1,G4,11,2733,0.00402
9,20,1,G5,11,2733,0.00402
10,30,0,G1G2,38838,38993,0.99602
11,30,0,G3a,124,38993,0.00318
12,30,0,G3b,16,38993,0.00041
13,30,0,G4,11,38993,0.00028
14,30,0,G5,11,38993,0.00028
15,30,1,G1G2,13455,13675,0.98391
16,30,1,G3a,116,13675,0.00848
17,30,1,G3b,48,13675,0.00351
18,30,1,G4,31,13675,0.00227
19,30,1,G5,25,13675,0.00183
20,40,0,G1G2,56408,56900,0.99135
21,40,0,G3a,423,56900,0.00743
22,40,0,G3b,48,56900,0.00084
23,40,0,G4,13,56900,0.00023
24,40,0,G5,11,56900,0.00019
25,40,1,G1G2,40029,41173,0.97221
26,40,1,G3a,752,41173,0.01826
27,40,1,G3b,219,41173,0.00532
28,40,1,G4,95,41173,0.00231
29,40,1,G5,78,41173,0.00189
30,50,0,G1G2,69535,71232,0.97618
31,50,0,G3a,1485,71232,0.02085
32,50,0,G3b,152,71232,0.00213
33,50,0,G4,33,71232,0.00046
34,50,0,G5,27,71232,0.00038
35,50,1,G1G2,86508,91658,0.94381
36,50,1,G3a,3771,91658,0.04114
37,50,1,G3b,923,91658,0.01007
38,50,1,G4,271,91658,0.00296
39,50,1,G5,185,91658,0.00202
40,60,0,G1G2,57572,60855,0.94605
41,60,0,G3a,2714,60855,0.0446
42,60,0,G3b,441,60855,0.00725
43,60,0,G4,88,60855,0.00145
44,60,0,G5,40,60855,0.00066
45,60,1,G1G2,115642,132425,0.87326
46,60,1,G3a,12184,132425,0.09201
47,60,1,G3b,3560,132425,0.02688
48,60,1,G4,764,132425,0.00577
49,60,1,G5,275,132425,0.00208
50,70,0,G1G2,24835,28938,0.85821
51,70,0,G3a,3298,28938,0.11397
52,70,0,G3b,681,28938,0.02353
53,70,0,G4,102,28938,0.00352
54,70,0,G5,22,28938,0.00076
55,70,1,G1G2,78961,107874,0.73197
56,70,1,G3a,20379,107874,0.18891
57,70,1,G3b,6942,107874,0.06435
58,70,1,G4,1334,107874,0.01237
59,70,1,G5,258,107874,0.00239
60,80,0,G1G2,5691,8082,0.70416
61,80,0,G3a,1733,8082,0.21443
62,80,0,G3b,547,8082,0.06768
63,80,0,G4,100,8082,0.01237
64,80,0,G5,11,8082,0.00136
65,80,1,G1G2,24352,43983,0.55367
66,80,1,G3a,11850,43983,0.26942
67,80,1,G3b,6388,43983,0.14524
68,80,1,G4,1290,43983,0.02933
69,80,1,G5,103,43983,0.00234
70,90,0,G1G2,510,964,0.52905
71,90,0,G3a,280,964,0.29046
72,90,0,G3b,131,964,0.13589
73,90,0,G4,42,964,0.04357
74,90,0,G5,11,964,0.01141
75,90,1,G1G2,2399,6063,0.39568
76,90,1,G3a,1963,6063,0.32377
77,90,1,G3b,1368,6063,0.22563
78,90,1,G4,319,6063,0.05261
79,90,1,G5,14,6063,0.00231
