,age_group,ICE_q3,g_stage,n,group_sum,frac
0,20,0,G1,3777,4132,0.91409
1,20,0,G2,337,4132,0.08156
2,20,0,G3a,11,4132,0.00266
3,20,0,G3b,11,4132,0.00266
4,20,0,G5,11,4132,0.00266
5,20,0,G4,11,4132,0.00266
6,20,1,G1,7931,8578,0.92457
7,20,1,G2,627,8578,0.07309
8,20,1,G3a,11,8578,0.00128
9,20,1,G5,11,8578,0.00128
10,20,1,G3b,11,8578,0.00128
11,20,1,G4,11,8578,0.00128
12,20,2,G1,7063,7757,0.91053
13,20,2,G2,672,7757,0.08663
14,20,2,G3a,16,7757,0.00206
15,20,2,G4,11,7757,0.00142
16,20,2,G5,11,7757,0.00142
17,20,3,G1,6862,7562,0.90743
18,20,3,G2,685,7562,0.09058
19,20,3,G5,11,7562,0.00145
20,20,3,G3a,12,7562,0.00159
21,20,3,G3b,11,7562,0.00145
22,20,3,G4,11,7562,0.00145
23,30,0,G1,5922,7311,0.81001
24,30,0,G2,1340,7311,0.18329
25,30,0,G3a,28,7311,0.00383
26,30,0,G3b,11,7311,0.0015
27,30,0,G5,11,7311,0.0015
28,30,0,G4,11,7311,0.0015
29,30,1,G1,12927,15589,0.82924
30,30,1,G2,2522,15589,0.16178
31,30,1,G4,15,15589,0.00096
32,30,1,G3a,83,15589,0.00532
33,30,1,G3b,21,15589,0.00135
34,30,1,G5,21,15589,0.00135
35,30,2,G2,2624,14647,0.17915
36,30,2,G1,11923,14647,0.81402
37,30,2,G3b,18,14647,0.00123
38,30,2,G3a,68,14647,0.00464
39,30,2,G4,11,14647,0.00075
40,30,2,G5,11,14647,0.00075
41,30,3,G2,2782,15121,0.18398
42,30,3,G1,12253,15121,0.81033
43,30,3,G3a,61,15121,0.00403
44,30,3,G3b,16,15121,0.00106
45,30,3,G4,11,15121,0.00073
46,30,3,G5,11,15121,0.00073
47,40,0,G1,9248,13723,0.67391
48,40,0,G2,4212,13723,0.30693
49,40,0,G3a,174,13723,0.01268
50,40,0,G4,21,13723,0.00153
51,40,0,G5,18,13723,0.00131
52,40,0,G3b,50,13723,0.00364
53,40,1,G1,20110,28032,0.71739
54,40,1,G2,7329,28032,0.26145
