,age_group,SDI_q3,g_stage,n,group_sum,frac
0,20,0,G1,3777,4132,0.91409
1,20,0,G2,337,4132,0.08156
2,20,0,G3a,11,4132,0.00266
3,20,0,G3b,11,4132,0.00266
4,20,0,G5,11,4132,0.00266
5,20,0,G4,11,4132,0.00266
6,20,1,G1,8257,8943,0.92329
7,20,1,G2,668,8943,0.0747
8,20,1,G3a,11,8943,0.00123
9,20,1,G5,11,8943,0.00123
10,20,1,G3b,11,8943,0.00123
11,20,1,G4,11,8943,0.00123
12,20,2,G1,7125,7831,0.90985
13,20,2,G2,685,7831,0.08747
14,20,2,G5,11,7831,0.0014
15,20,2,G3a,13,7831,0.00166
16,20,2,G4,11,7831,0.0014
17,20,2,G3b,11,7831,0.0014
18,20,3,G2,631,7123,0.08859
19,20,3,G1,6474,7123,0.90889
20,20,3,G3a,13,7123,0.00183
21,20,3,G5,11,7123,0.00154
22,20,3,G3b,11,7123,0.00154
23,20,3,G4,11,7123,0.00154
24,30,0,G1,5922,7311,0.81001
25,30,0,G2,1340,7311,0.18329
26,30,0,G3a,28,7311,0.00383
27,30,0,G3b,11,7311,0.0015
28,30,0,G5,11,7311,0.0015
29,30,0,G4,11,7311,0.0015
30,30,1,G1,13026,15725,0.82836
31,30,1,G2,2565,15725,0.16312
32,30,1,G4,14,15725,0.00089
33,30,1,G3a,81,15725,0.00515
34,30,1,G3b,23,15725,0.00146
35,30,1,G5,16,15725,0.00102
36,30,2,G1,12068,14873,0.8114
37,30,2,G2,2685,14873,0.18053
38,30,2,G3a,81,14873,0.00545
39,30,2,G5,11,14873,0.00074
40,30,2,G4,13,14873,0.00087
41,30,2,G3b,15,14873,0.00101
42,30,3,G2,2678,14759,0.18145
43,30,3,G1,12009,14759,0.81367
44,30,3,G5,11,14759,0.00075
45,30,3,G3b,17,14759,0.00115
46,30,3,G3a,50,14759,0.00339
47,30,3,G4,11,14759,0.00075
48,40,0,G1,9248,13723,0.67391
49,40,0,G2,4212,13723,0.30693
50,40,0,G3a,174,13723,0.01268
51,40,0,G4,21,13723,0.00153
52,40,0,G5,18,13723,0.00131
53,40,0,G3b,50,13723,0.00364
54,40,1,G1,20069,28143,0.71311
