,race,mean,min,max,std,age,perc_5,perc_95,sex
0,Black,-0.011989606132812922,-7.0,7.0,0.6574671369945172,30,-1.3006251946420666,1.276645982376441,Female
1,Non-Black,-0.16896352179690513,-8.0,6.0,0.7111375968750344,30,-1.5627932116719727,1.2248661680781623,Female
2,Black,-0.04318729365575087,-8.0,6.0,0.6723965270976221,30,-1.3610844867670902,1.2747098994555883,Male
3,Non-Black,-0.20710846426761279,-9.0,7.0,0.7257163370924007,30,-1.6295124849687181,1.2152955564334924,Male
4,Black,-0.011989606132812922,-7.0,7.0,0.6574671369945172,35,-1.3006251946420666,1.276645982376441,Female
5,Non-Black,-0.16896352179690513,-8.0,6.0,0.7111375968750344,35,-1.5627932116719727,1.2248661680781623,Female
6,Black,-0.043187844177034466,-8.0,6.0,0.6724007950778749,35,-1.361093402529669,1.2747177141756003,Male
7,Non-Black,-0.20711108858449803,-9.0,7.0,0.7257205605143418,35,-1.6295233871926078,1.2153012100236118,Male
8,Black,-0.011990123243802766,-7.0,7.0,0.6574813105383274,40,-1.3006534918989243,1.276673245411319,Female
9,Non-Black,-0.16897076474622771,-8.0,6.0,0.7111519785452962,40,-1.5628286426950082,1.2248871132025527,Female
10,Black,-0.04319114759950027,-8.0,6.0,0.672426404666182,40,-1.3611469007452168,1.2747646055462165,Male
11,Non-Black,-0.20713996046028285,-9.0,7.0,0.7257670229718337,40,-1.6296433254850768,1.2153634045645112,Male
12,Black,-0.011991028295376122,-7.0,7.0,0.6575061164458424,45,-1.3007030165292273,1.276720959938475,Female
13,Non-Black,-0.16899249732047159,-8.0,6.0,0.7111951287668967,45,-1.5629349497035891,1.2249499550626461,Female
14,Black,-0.04320161177205667,-8.0,6.0,0.6725075210040324,45,-1.3613163529399601,1.274913129395847,Male
15,Non-Black,-0.20717717298989718,-9.0,7.0,0.7258247190086824,45,-1.6297936222469147,1.2154392762671202,Male
16,Black,-0.011994391112069895,-7.0,7.0,0.6575982772613655,50,-1.3008870145443463,1.2768982323202065,Female
17,Non-Black,-0.16901287645677648,-8.0,6.0,0.7112844742115284,50,-1.5631304459113722,1.2251046929978193,Female
18,Black,-0.04321475962029193,-8.0,6.0,0.6726996396762964,50,-1.3617060533858327,1.275276534145249,Male
19,Non-Black,-0.20729371472061903,-9.0,7.0,0.7260427772820702,50,-1.6303375581934767,1.2157501287522385,Male
20,Black,-0.012028159281333679,-7.0,7.0,0.6578821680550915,55,-1.301477208669313,1.2774208901066457,Female
21,Non-Black,-0.16909886902590296,-8.0,6.0,0.7115065516999358,55,-1.5636517103577772,1.2254539723059712,Female
22,Black,-0.04322313415663113,-8.0,6.0,0.6732307926144008,55,-1.3627554876808567,1.2763092193675944,Male
23,Non-Black,-0.20755388369255795,-9.0,7.0,0.726561697628273,55,-1.631614811043973,1.2165070436588572,Male
24,Black,-0.011953355926330948,-7.0,7.0,0.6585026285825762,60,-1.3026185079481805,1.2787117960955185,Female
25,Non-Black,-0.1692456687829549,-8.0,6.0,0.7123045133785252,60,-1.5653625150048642,1.2268711774389545,Female
26,Black,-0.043233300317721664,-8.0,6.0,0.6746321533177166,60,-1.3655123208204463,1.279045720185003,Male
27,Non-Black,-0.20811910060624664,-9.0,7.0,0.7281465711720535,60,-1.6352863801034714,1.2190481788909782,Male
28,Black,-0.011857750627249919,-7.0,7.0,0.6599429264648977,65,-1.3053458864984495,1.2816303852439497,Female
29,Non-Black,-0.16956078737426292,-8.0,6.0,0.7138734565319386,65,-1.5687527621768624,1.2296311874283368,Female
30,Black,-0.042972831765935214,-8.0,6.0,0.678035370292722,65,-1.3719221575396703,1.2859764940077998,Male
31,Non-Black,-0.20876094468549455,-9.0,7.0,0.7312283705518376,65,-1.6419685509670963,1.2244466615961072,Male
32,Black,-0.011113457285426924,-7.0,7.0,0.6621316998106483,70,-1.3088915889142978,1.2866646743434438,Female
33,Non-Black,-0.16995223333958456,-8.0,6.0,0.7171121252992414,70,-1.5754919989260978,1.2355875322469285,Female
