,race,mean,min,max,std,age,perc_5,perc_95,sex
0,Black,-0.004484807265307755,-7.0,7.0,0.4023501921073353,30,-0.7930911837956849,0.7841215692650694,Female
1,Non-Black,-0.06335118286445013,-8.0,6.0,0.44410609396775386,30,-0.9337991270412476,0.8070967613123474,Female
2,Black,-0.013571893870667364,-8.0,6.0,0.37870342714574057,30,-0.7558306110763189,0.7286868233349841,Male
3,Non-Black,-0.06570185349905042,-9.0,7.0,0.42121234511417643,30,-0.8912780499228362,0.7598743429247353,Male
4,Black,-0.004506188472036307,-7.0,7.0,0.4033080333555358,35,-0.7949899338488864,0.7859775569048137,Female
5,Non-Black,-0.06365490712559126,-8.0,6.0,0.4451476976861481,35,-0.9361443945904415,0.8088345803392589,Female
6,Black,-0.013704434571010036,-8.0,6.0,0.3805457303740777,35,-0.7595740661042023,0.7321651969621823,Male
7,Non-Black,-0.06632314636553364,-9.0,7.0,0.4231505237920325,35,-0.8956981729979173,0.7630518802668501,Male
8,Black,-0.004533762578056751,-7.0,7.0,0.40453995586578484,40,-0.797432076074995,0.7883645509188816,Female
9,Non-Black,-0.06406184333882908,-8.0,6.0,0.4465391283032573,40,-0.9392785348132133,0.8111548481355553,Female
10,Black,-0.013865921924570365,-8.0,6.0,0.3827783444873091,40,-0.7641114771196962,0.7363796332705554,Male
11,Non-Black,-0.06708175153815944,-9.0,7.0,0.4255038599938082,40,-0.9010693171260235,0.7669058140497046,Male
12,Black,-0.004571461195594107,-7.0,7.0,0.40621816065918026,45,-0.8007590560875875,0.7916161336963992,Female
13,Non-Black,-0.06458512419589423,-8.0,6.0,0.44832148459580773,45,-0.9432952340036773,0.8141249856118888,Female
14,Black,-0.01406636374556284,-8.0,6.0,0.38553143972815807,45,-0.7697079856127526,0.741575258121627,Male
15,Non-Black,-0.06804590068685024,-9.0,7.0,0.42848166198738125,45,-0.9078699581821175,0.771778156808417,Male
16,Black,-0.004624816410053303,-7.0,7.0,0.4085815527615818,50,-0.8054446598227536,0.796195027002647,Female
17,Non-Black,-0.06535354826472929,-8.0,6.0,0.45095481243754193,50,-0.9492249806423114,0.8185178841128529,Female
18,Black,-0.014344504723757373,-8.0,6.0,0.38937130794307295,50,-0.7775122682921803,0.7488232588446656,Male
