,stage_diag,sex,race,mean,std,min,max
0,G2,F,B,-10.46185865575546,2.5859337074597333,-13.910000000000004,-3.780000000000001
1,G2,F,NB,4.818657458870609,1.2401042065153371,-0.7199999999999989,7.329999999999998
2,G2,M,B,-9.891244974162143,2.448163842849747,-13.280000000000001,-3.589999999999989
3,G2,M,NB,5.316645494291234,1.323890040706083,-0.46999999999999886,7.8600000000000065
4,G3a,F,B,-3.9233655199374513,1.581625731151888,-8.489999999999998,-1.7999999999999972
5,G3a,F,NB,4.136129159369527,1.7362997493964405,1.0600000000000023,15.019999999999996
6,G3a,M,B,-3.7572435788530743,1.465268549762176,-8.059999999999999,-1.6299999999999955
7,G3a,M,NB,4.390940974970481,1.8575410053910244,1.3100000000000023,15.990000000000009
8,G3b,F,B,-3.0072892709612593,1.2983132790395706,-12.560000000000002,-1.1800000000000068
9,G3b,F,NB,2.7983381067229427,1.3894635939301792,0.9200000000000017,11.39
10,G3b,M,B,-2.9030101430962056,1.2363487398338133,-11.759999999999998,-1.0900000000000034
11,G3b,M,NB,2.964708804599138,1.4224789454099596,1.0700000000000003,12.25
12,G4,F,B,-1.7853137464733926,0.8075557500690029,-11.800000000000004,-0.7600000000000051
13,G4,F,NB,2.107112754158965,1.0446226728131602,0.8000000000000043,7.709999999999994
14,G4,M,B,-1.6904152385974163,0.7912504386669424,-12.25,-0.6899999999999977
15,G4,M,NB,2.2012034566018555,1.0836591347812112,0.8699999999999974,8.579999999999998
16,G5,F,B,-0.8171258134490242,0.5488759448446824,-8.540000000000006,-0.35999999999999943
17,G5,F,NB,1.0530511627906978,0.4620672439979215,-0.18000000000000682,3.980000000000004
18,G5,M,B,-0.7133131313131308,0.36336474816888187,-3.780000000000001,-0.3299999999999983
19,G5,M,NB,1.0431587561374793,0.44685715545140653,0.06999999999999318,4.570000000000007
