,stage_diag,sex,race,mean,std,min,max
0,G2,F,B,7.989398339250257,0.6962664399883002,6.579999999999998,9.760000000000005
1,G2,F,NB,-3.876900678079146,0.7018702665682931,-5.060000000000002,-1.7399999999999949
2,G2,M,B,7.632570166235493,0.6779815809370272,6.260000000000005,9.319999999999993
3,G2,M,NB,-4.307402197381563,0.6601253708470074,-5.430000000000007,-1.9599999999999937
4,G3a,F,B,4.670054860568152,0.44739993699065583,3.6599999999999966,6.32
5,G3a,F,NB,-3.7654752626970227,0.5469342123423464,-5.099999999999994,-1.8400000000000034
6,G3a,M,B,4.441444391245927,0.44826913629483206,3.3299999999999983,6.130000000000003
7,G3a,M,NB,-4.020596089218752,0.5490453008677034,-5.459999999999994,-2.200000000000003
8,G3b,F,B,3.283725577760411,0.274184801004276,2.6499999999999986,4.609999999999999
9,G3b,F,NB,-3.151253894080997,0.33551330248766703,-3.950000000000003,-1.5
10,G3b,M,B,3.101866056487142,0.2711847765174272,2.4099999999999966,4.369999999999997
11,G3b,M,NB,-3.34872117727926,0.33559609438343085,-4.229999999999997,-1.75
12,G4,F,B,2.0343768849109836,0.1419756028294278,1.6900000000000013,2.7600000000000016
13,G4,F,NB,-2.3076792975970424,0.1740592150109292,-2.740000000000002,-1.4200000000000017
14,G4,M,B,1.9018257316108622,0.14037834441387648,1.5199999999999996,2.59
15,G4,M,NB,-2.4520498157326216,0.17379128527591314,-2.9200000000000017,-1.6600000000000001
16,G5,F,B,0.9237418655097613,0.07515738509416452,0.7799999999999994,1.1899999999999995
17,G5,F,NB,-1.2771720930232557,0.08232539314461791,-1.4499999999999993,-0.9600000000000009
18,G5,M,B,0.867010101010101,0.07347332752283119,0.6999999999999993,1.1400000000000006
19,G5,M,NB,-1.3448608837970542,0.09234169595408477,-1.5500000000000007,-1.0300000000000011
