dm,ht,g3,mu,min,max,param
0,0,0,0.65,0.258,1.042,prior
0,0,1,0.65,0.258,1.042,prior
0,1,0,1.0,0.41200000000000003,1.588,prior
0,1,1,1.4,0.5571999999999999,2.2428,prior
1,0,0,0.8,-0.08199999999999996,1.682,prior
1,0,1,1.8,0.11440000000000006,3.4856,prior
1,1,0,1.1,-2.82,5.02,prior
1,1,1,1.5,-1.0284,4.0283999999999995,prior
0,0,0,0.6837248647106566,0.6837248647105489,0.6837248647105489,posterior
0,0,1,0.7753080190513935,0.775308019051304,0.775308019051304,posterior
0,1,0,0.7864483382652829,0.7864483382651652,0.7864483382651652,posterior
0,1,1,0.9612851772788775,0.961285177278925,0.961285177278925,posterior
1,0,0,0.6893928250420317,0.6893928250421331,0.6893928250421331,posterior
1,0,1,1.949963298407656,1.9499632984073394,1.9499632984073394,posterior
1,1,0,1.7678488621099477,1.767848862110375,1.767848862110375,posterior
1,1,1,2.0396487380723656,2.039648738072266,2.039648738072266,posterior
